label,num_vert,max_degree,max_indegree,max_values,nodes,method,kind,query_type,filename,target,observed,barren,interval_result,time
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,3,,0,0.478396166312 0.61271610951425 0.38728389048575 0.521603833688,139.0
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,0,3,0,0.2171892563259333 0.30003810067450953 0.47843343564154495 0.6263775806831527 0.06059177642782803 0.2642812208322866 0.012992542214509739 0.054807019255429724,850.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,2,,0,0.14250464293475001 0.519448928661125 0.10089960056224997 0.64722305954675 0.12957134840999998 0.6778457706525001,5216.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,0,2,0,0.019588594388602734 0.42184336685443224 0.0 0.015051872073987152 0.40817898013070286 0.7202740536014008 0.0 0.5591792621967498,7817.0
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,3,,0,0.48280025973 0.6096639621310626 0.3903360378689375 0.5171997402699999,111.0
vs_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n4_mID2_mD6_mV4_nV2-1.uai,0,3,0,0.21849027972534163 0.3000381006745095 0.48095530708590667 0.6263775806831526 0.060591776427828016 0.25806287928366806 0.012992542214509736 0.04859320546478787,855.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,2,,0,0.17206295098656252 0.5061766518775 0.11014232042462503 0.5928688301095626 0.16141608207159377 0.6626523150794374,200.0
vm_n4_mID2_mD6_mV4_nV2-1,2,6,2,4,4,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n4_mID2_mD6_mV4_nV2-1.uai,0,2,0,0.02012918652471568 0.4006994822180547 6.583759356476868e-05 0.014463767915808777 0.5620418748281835 0.7136059567111169 0.011266632072533922 0.363626956718906,2405.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,4,,0,0.14068370536601063 0.39442636955468596 0.2576856087271452 0.6296712319793628 0.13687337274876327 0.4868568649623525,212.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,0,4,0,0.11127907522213118 0.3653233381319266 0.25461322251779045 0.6282194534154119 0.260501471362457 0.3800634393502831,669.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,1,,2,0.08854892700000001 0.3945542135 0.058842188999999996 0.338556605375 0.03997044100000001 0.32724138275000003 0.2515017595 0.614207225,165.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch10,mult,cond,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,0,2 1,0,0.04587809957507319 0.9708674641505408 0.02913253584945926 0.9541219004249268,85.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch5,sing,marg,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,4,,0,0.15701926263032848 0.3669717120379435 0.2979569791516939 0.6006925535211376 0.14020678952175458 0.442574842547113,135.0
vs_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch5,sing,cond,./networks/vmodel/vmodel-sing_n5_mID2_mD6_mV4_nV2-1.uai,0,4,0,0.1121026686844743 0.36342589258327934 0.26091043769427025 0.6182691049354695 0.2696282263800562 0.37566366972245047,557.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch5,mult,marg,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,1,,2,0.130944389984375 0.376202450375 0.06004259934375 0.28902561278125 0.041352510000000016 0.3177077548125 0.26941855075 0.603181286625,119.0
vm_n5_mID2_mD6_mV4_nV2-1,2,6,2,4,5,cve_ch5,mult,cond,./networks/vmodel/vmodel-mult_n5_mID2_mD6_mV4_nV2-1.uai,0,2 1,0,0.04587809957507319 0.9708674641505408 0.02913253584945926 0.9541219004249268,81.0
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,sing,marg,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,5,,0,0.07434052497030177 0.6015031986195333 0.09440841098425931 0.6252332541556065 0.09383395580108887 0.44216862670087753 0.04117574155674886 0.24262029854519415,111.0
vs_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,sing,cond,./networks/vmodel/vmodel-sing_n6_mID2_mD6_mV4_nV2-1.uai,0,5,0,0.13064737303952165 0.8119454725032668 0.12416621817581568 0.2335312123467528 0.021001065385807222 0.5055316650853798 0.04288724393511038 0.13761569544495164,373.0
vm_n6_mID2_mD6_mV4_nV2-1,2,6,2,4,6,cve_ch10,mult,marg,./networks/vmodel/vmodel-mult_n6_mID2_mD6_mV4_nV2-1.uai,1,,3,0.149069033 0.6483154720000001 0.121995927 0.69827999325 0.10332365900000001 0.390299544,118.0
